Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Cussat-Blanc, Sylvain; Pollack, Jordan; ",Cracking the egg: Virtual embryogenesis of real robots,Artificial life,20,3,361-383,2014,"MIT Press One Rogers Street, Cambridge, MA 02142-1209, USA journals-info …"
"Sanchez, Stéphane; Cussat-Blanc, Sylvain; ",Gene regulated car driving: using a gene regulatory network to drive a virtual car,Genetic Programming and Evolvable Machines,15,,477-511,2014,Springer US
"Delecluse, Martin; Sanchez, Stéphane; Cussat-Blanc, Sylvain; Schneider, Nicolas; Welcomme, Jean-Baptiste; ",High-level behavior regulation for multi-robot systems,Proceedings of the Companion Publication of the 2014 Annual Conference on Genetic and Evolutionary Computation,,,29-30,2014,
"Wilson, Dennis; Cussat-Blanc, Sylvain; Veeramachaneni, Kalyan; O'Reilly, Una-May; Luga, Hervé; ",A continuous developmental model for wind farm layout optimization,Proceedings of the 2014 Annual Conference on Genetic and Evolutionary Computation,,,745-752,2014,
"Disset, Jean; Cussat-Blanc, Sylvain; Duthen, Yves; ",Toward organogenesis of artificial creatures,Proceedings of the Companion Publication of the 2014 Annual Conference on Genetic and Evolutionary Computation,,,101-102,2014,
"Disset, Jean; Cussat-Blanc, Sylvain; Duthen, Yves; ",Self-organization of symbiotic multicellular structures,the Fourteenth International Conference on the Synthesis and Simulation of Living Systems-ALIFE 2014,,,pp. 541-548,2014,
"Cussat-Blanc, Sylvain; Harrington, Kyle; Pollack, Jordan; ",Gene regulatory network evolution through augmenting topologies,IEEE Transactions on Evolutionary Computation,19,6,823-837,2015,IEEE
"Balaresque, Patricia; Poulet, Nicolas; Cussat-Blanc, Sylvain; Gerard, Patrice; Quintana-Murci, Lluis; Heyer, Evelyne; Jobling, Mark A; ",Y-chromosome descent clusters and male differential reproductive success: young lineage expansions dominate Asian pastoral nomadic populations,European Journal of Human Genetics,23,10,1413-1422,2015,Nature Publishing Group
"Cussat-Blanc, Sylvain; Pollack, Jordan; ","Summary of"" Cracking the Egg: Virtual Embryogenesis of Real Robots""",Genetic and Evolutionary Computation COnference (GECCO 2014),,,1-2,2014,ACM
"Cussat-Blanc, Sylvain; Harrington, Kyle; ",Genetically-regulated neuromodulation facilitates multi-task reinforcement learning,Proceedings of the 2015 Annual Conference on Genetic and Evolutionary Computation,,,551-558,2015,
"Cussat-Blanc, Sylvain; Banzhaf, Wolfgang; ",Introduction to gene regulatory networks,Proceedings of the Genetic and Evolutionary Computation Conference Companion,,,359-372,2017,
"Cussat‐Blanc, Sylvain; Disset, Jean; Sanchez, Stéphane; Duthen, Yves; ",Artificial gene regulatory networks for agent control,Evolutionary Computation in Gene Regulatory Network Research,,,299-326,2016,"John Wiley & Sons, Inc. Hoboken, NJ, USA"
"Ababsa, Tarek; Djedi, Nouredinne; Duthen, Yves; Cussat-Blanc, Sylvain; ",Splittable metamorphic carrier robots,14th International Conference on the Synthesis and Simulation of Living Systems (ALIFE 14),,,pp. 1-8,2014,
"Cussat-Blanc, Sylvain; Disset, Jean; Sanchez, Stéphane; ",Dangerousness metric for gene regulated car driving,"Applications of Evolutionary Computation: 19th European Conference, EvoApplications 2016, Porto, Portugal, March 30--April 1, 2016, Proceedings, Part I 19",,,620-635,2016,Springer International Publishing
"Disset, Jean; Cussat-Blanc, Sylvain; Duthen, Yves; ",Mecacell: an open-source efficient cellular physics engine,,,,,2015,MIT Press
"Wilson, Dennis; Cussat-Blanc, Sylvain; Luga, Hervé; ",The evolution of artificial neurogenesis,Proceedings of the 2016 on Genetic and Evolutionary Computation Conference Companion,,,1047-1048,2016,
"Disset, Jean; Cussat-Blanc, Sylvain; Duthen, Yves; ",Evolved developmental strategies of artificial multicellular organisms,15th International Symposium on the Synthesis and Simulation of Living Systems (ALIFE XV 2016),,,pp. 1-8,2016,
"Disset, Jean; Wilson, Dennis G; Cussat-Blanc, Sylvain; Sanchez, Stéphane; Luga, Hervé; Duthen, Yves; ",A comparison of genetic regulatory network dynamics and encoding,Proceedings of the Genetic and Evolutionary Computation Conference,,,91-98,2017,ACM
"Rima, Hiouani; Cussat-Blanc, Sylvain; Djedi, NourEddine; Duthen, Yves; ",A Multi-Level Autopoietic System to Develop an artificial Organism,LATE-BREAKING ABSTRACTS,,,9,2017,
"Dubois, Kevin; Cussat-Blanc, Sylvain; Duthen, Yves; ",Towards an artificial polytrophic ecosystem,"Morphogenetic Engineering Workshop, at the European Conference on Artificial Life (ECAL)",4,,,2017,
"Panzoli, David; Cussat-Blanc, Sylvain; Pascalie, Jonathan; Disset, Jean; O'Rourke, Marvyn; Brichese, Laetitia; Lobjois, Valérie; Bonnafé, Elsa; Géret, Florence; Lelardeux, Catherine Pons; ",Learning the cell cycle with a game: Virtual experiments in cell biology,2017 9th International Conference on Virtual Worlds and Games for Serious Applications (VS-Games),,,47-54,2017,IEEE
"Awa, Emmanuel; Cussat-Blanc, Sylvain; Veeramachaneni, Kalyan; ",DEVELOPMENTAL MODEL FOR WIND TURBINE POSITIONING,,,,,,
"Dembele, Jean Marie; Cussat-Blanc, Sylvain; Disset, Jean; Duthen, Yves; ",Investigating Artificial Cells’ Spatial Proliferation with a Gene Regulatory Network,Procedia computer science,114,,208-215,2017,Elsevier
"Hiouani, Rima; Ouannes, Nesrine; Djedi, Nouredinne; Duthen, Yves; Cussat-Blanc, Sylvain; ",Intelligent cell using on-line GRN policy enzyme,,,,,2016,MIT Press
"Akrour, Djouher; Cussat-Blanc, Sylvain; Sanchez, Stephane; Djedi, Nouredinne; Luga, Hervé; ",Joint evolution of morphologies and controllers for realistic modular robots,22nd Symposium on Artificial Life And Robotics (AROB 2017),,,pp. 57-62,2017,
"Delehelle, Franklin; Cussat-Blanc, Sylvain; Alliot, Jean-Marc; Luga, Hervé; Balaresque, Patricia; ",ASGART: fast and parallel genome scale segmental duplications mapping,Bioinformatics,34,16,2708-2714,2018,Oxford University Press
"Wilson, Dennis; Rodrigues, Silvio; Segura, Carlos; Loshchilov, Ilya; Hutter, Frank; Buenfil, Guillermo López; Kheiri, Ahmed; Keedwell, Ed; Ocampo-Pineda, Mario; Özcan, Ender; ",Evolutionary computation for wind farm layout optimization,Renewable energy,126,,681-691,2018,Pergamon
"Wilson, Dennis G; Cussat-Blanc, Sylvain; Luga, Hervé; ",Evolving genetic regulatory networks for online neurogenesis,6th Morphogenetic Engineering Workshop (MEW 2016) at ALife XV: Artificial Life Conference,,,pp. 14-15,2016,
"Wilson, Dennis G; Disset, Jean; Cussat-Blanc, Sylvain; Duthen, Yves; Luga, Hervé; ",Learning aquatic locomotion with animats,Artificial Life Conference Proceedings,,,585-592,2017,"MIT Press One Rogers Street, Cambridge, MA 02142-1209, USA journals-info …"
"Duthen, Yves; Cussat-Blanc, Sylvain; Disset, Jean; ",Evolved developmental strategies of artificial multicellular organisms,Proceedings of the Artificial Life Conference 2016,,,360-367,2016,"MIT Press One Rogers Street, Cambridge, MA 02142-1209, USA journals-info …"
"Miller, Julian F; Cussat-Blanc, Sylvain; Wilson, Dennis G; ",First Workshop on Developmental Neural Networks,ACM SIGEVOlution,11,1,11-11,2018,ACM
"Wilson, Dennis G; Cussat-Blanc, Sylvain; Luga, Hervé; Miller, Julian F; ",Evolving simple programs for playing Atari games,Proceedings of the genetic and evolutionary computation conference,,,229-236,2018,
"Harrington, Kyle; Awa, Emmanuel; Cussat-Blanc, Sylvain; Pollack, Jordan; ",Robot Coverage Control by Neuromodulation,,,,,,
"Wilson, Dennis G; Rodrigues, Silvio; Segura, Carlos; Loshchilov, Ilya; Hutter, Frank; Buenfil, Guillermo López; Kheiri, Ahmed; Keedwell, Ed; Ocampo-Pineda, Mario; Özcan, Ender; ",Summary of evolutionary computation for wind farm layout optimization,Proceedings of the Genetic and Evolutionary Computation Conference Companion,,,31-32,2018,
"Wilson, Dennis G; Harrington, Kyle; Cussat-Blanc, Sylvain; Luga, Hervé; ",Evolving Differentiable Gene Regulatory Networks,arXiv preprint arXiv:1807.05948,,,,2018,
"Purshouse, Robin; Zarges, Christine; Cussat-Blanc, Sylvain; Epitropakis, Michael G; Gallagher, Marcus; Jansen, Thomas; Kerschke, Pascal; Li, Xiaodong; Lobo, Fernando G; Miller, Julian; ",Workshops at PPSN 2018,"Parallel Problem Solving from Nature–PPSN XV: 15th International Conference, Coimbra, Portugal, September 8–12, 2018, Proceedings, Part II 15",,,490-497,2018,Springer International Publishing
"Miller, Julian F; Wilson, Dennis G; Cussat-Blanc, Sylvain; ",Evolving programs that build neural networks for multiple problems,,,,,,
"Wilson, Dennis G; Cussat-Blanc, Sylvain; Luga, Hervé; ",A gene regulatory network model for axon guidance,,,,,,
"Wilson, Dennis G; Miller, Julian F; Cussat-Blanc, Sylvain; Luga, Hervé; ",Positional cartesian genetic programming,arXiv preprint arXiv:1810.04119,,,,2018,
"Wilson, Dennis G; Cussat-Blanc, Sylvain; Luga, Hervé; Harrington, Kyle; ",Neuromodulated Learning in Deep Neural Networks,arXiv preprint arXiv:1812.03365,,,,2018,
"Miller, Julian F; Wilson, Dennis G; Cussat-Blanc, Sylvain; ",Evolving developmental programs that build neural networks for solving multiple problems,Genetic Programming Theory and Practice XVI,,,137-178,2019,Springer International Publishing
"Cussat-Blanc, Sylvain; Harrington, Kyle; Banzhaf, Wolfgang; ",Artificial gene regulatory networks—a review,Artificial life,24,4,296-328,2019,MIT Press
"Bernard, David; Mondesert, Odile; Gomes, Aurélie; Duthen, Yves; Lobjois, Valérie; Cussat-Blanc, Sylvain; Ducommun, Bernard; ",A checkpoint-oriented cell cycle simulation model,Cell Cycle,18,8,795-808,2019,Taylor & Francis
